6684	4910	5020	5136	5054	4901	5087	5088	5050	5025	124	112	9203	7210	7093	7291	7089	7191	7271	7286	7294	7386	136	124	6386	5345	5404	5427	5526	5330	5557	5493	5629	5650	151	108	7097	3939	3896	4005	3899	3840	3966	3915	3962	3982	144	114	7812	4815	4851	4838	4817	4728	4788	4715	4849	4740	152	115	5891	6589	6625	6708	6658	6710	6726	6890	6846	6771	135	125	7093	4881	4980	4863	4797	4776	4825	4889	4987	4904	155	133	6834	7157	7410	7161	7239	7211	7301	7393	7487	7205	120	112
6499	4934	5122	5259	5235	5076	5259	5319	5303	5354	114	116	9871	7257	7401	7239	7321	7310	7470	7205	7343	7235	133	116	6172	5378	5636	5737	5739	5557	5643	5869	5800	5908	146	102	7900	3852	3831	3901	3958	3949	4011	3915	3959	3981	158	110	7447	4809	4939	5085	4937	4959	5058	5146	5123	5138	162	112	6161	6499	6842	6846	6813	6779	6929	6924	6972	6983	151	120	7721	5328	5391	5367	5268	5279	5392	5376	5425	5315	179	106	6857	7795	7816	8185	8149	7979	8241	8326	8438	8281	136	118
6821	5132	5530	5700	5839	5751	5918	5963	6076	5976	103	93	11077	7551	7972	7902	8024	7977	8129	7986	8081	8096	155	122	6473	5531	6103	6257	6323	6385	6498	6704	6572	6458	155	111	8941	3880	3919	4050	4046	4089	4159	4099	4149	4300	147	116	7500	4943	5506	5528	5628	5526	5543	5663	5762	5678	157	111	6871	6627	7248	7244	7443	7421	7551	7483	7458	7541	168	123	8852	5906	6138	6234	6354	6387	6444	6523	6592	6679	156	121	7102	8230	8973	9478	9472	9730	9871	10038	9971	9887	118	111
7348	5110	6146	6424	6611	6820	7053	7009	7113	6955	102	116	12706	7822	8749	8947	8883	8856	9198	8890	9061	8990	158	119	6898	5630	6589	6909	7351	7422	7639	7828	7671	7628	164	104	10554	3814	4152	4222	4467	4442	4610	4517	4621	4736	154	116	7827	5073	6013	6334	6724	6549	6748	6834	6908	6856	173	120	8058	6540	7717	8032	8296	8089	8405	8463	8442	8351	150	122	10591	6681	7215	7524	7743	7923	8021	8075	8070	8258	175	129	7781	8717	10027	10765	11471	11761	12115	12253	12359	12158	121	119
8165	5246	6547	7253	7907	8020	8256	8405	8462	8450	104	113	14890	7917	9474	10068	10130	10318	10470	10313	10458	10570	175	114	7784	5817	6902	7711	8442	8654	9134	9235	9277	9226	179	105	12531	3872	4481	4722	5146	5206	5397	5324	5387	5516	181	116	8422	5135	6529	7368	7705	7825	8118	8226	8301	8322	175	123	9517	6852	8268	8827	9293	9552	9706	9760	9911	9676	183	116	12555	7649	8623	8964	9684	9887	10018	10259	10152	10288	187	118	8704	9116	10727	12196	13336	13914	14278	14773	14868	14520	122	120
9318	5268	6883	8039	9149	9630	9841	10032	10039	10022	102	107	16795	8004	10435	11260	11593	11847	12039	11972	12022	11971	177	102	8765	5765	7250	8326	9837	10332	10817	10898	10982	11052	187	103	14670	3910	4692	5389	5934	6069	6339	6564	6467	6468	176	102	9265	5118	6957	8168	9162	9372	9848	9992	10161	10056	185	113	11283	6771	8666	9669	10621	10942	11265	11330	11348	11124	199	118	14548	8734	9962	10818	11478	12006	12654	12488	12703	12906	178	111	9876	9477	11450	13247	15361	16323	16871	16998	17393	17059	121	98
10472	5185	7257	8895	10682	11336	11697	11821	11981	11859	105	99	19065	8091	11193	12437	13237	13385	13587	13643	13904	13974	173	126	10105	5608	7515	9130	11082	11831	12495	12574	12826	12808	169	111	16801	3993	4951	5854	6932	7461	7758	7773	7845	7875	189	116	10763	5075	7355	8991	10666	11102	11482	11916	12087	12211	188	118	13460	6720	9088	10483	11969	12393	12725	12829	13205	12761	177	109	16675	9783	11434	12463	13937	14878	15479	15444	15697	15897	183	118	11405	9501	11980	14269	17139	18717	19368	19785	20051	19700	116	113
12161	5132	7278	9465	11817	12896	13523	14061	14093	13971	106	111	21202	8045	11757	14035	15066	15298	15733	15609	15877	15855	199	129	11995	5593	7524	9280	12143	13482	14252	14644	14886	14829	196	115	18965	4004	5180	6417	8006	9005	9584	9637	9637	9654	210	104	12186	5157	7513	9683	12056	13201	14073	14158	14200	14183	200	110	15672	6748	9180	11226	13218	13823	14411	14802	14682	14407	199	108	19105	11005	13201	14460	16963	18085	18719	19298	19135	19513	191	112	13699	9726	12525	14917	19053	20985	22466	22960	22939	22797	126	125
14408	5152	7374	10054	13238	15031	16168	16324	16544	16511	111	119	23851	7943	12412	15309	16897	17328	17879	17545	18051	17783	208	104	13945	5590	7631	9794	13174	15461	16816	17027	17188	17103	200	116	21871	4142	5481	6955	9457	10656	11781	11837	11840	11994	202	111	14437	5131	7707	10347	13615	15417	16393	16731	16869	16635	209	120	18782	6722	9504	11683	14305	15594	16466	16795	16661	16653	212	122	21699	12419	15545	17163	19935	21882	23092	23281	23553	24017	205	126	15610	9848	12692	15672	20352	24114	25221	26460	26717	26169	129	112
17373	5104	7674	10468	15024	17585	18929	19206	19467	19756	112	122	27005	8116	13155	16743	19139	20106	20771	20466	20839	20606	214	115	16804	5568	7682	10173	14678	17956	19372	19893	20320	20053	227	112	24987	4413	5972	7678	10966	13186	14917	14961	14816	14959	222	121	17033	5104	7934	10983	15625	17867	19612	20079	20077	20316	226	120	22818	6611	9750	12273	15928	17552	18816	18933	19249	19072	225	125	24949	13782	18296	19760	23174	25826	27667	28567	28959	29724	225	116	18923	9940	13156	16454	22457	26376	29284	29874	30676	30577	131	116
