3826	2556	2537	2550	2413	2550	2557	2581	2614	2620	68	69	4271	2951	2980	2980	2930	2850	2952	2972	3002	3021	88	67	5908	3132	3188	3158	3064	3101	3089	3135	3154	3163	90	72	4046	3031	3033	3093	3027	3063	3150	3165	3176	3143	106	72	4724	2257	2248	2274	2176	2179	2228	2264	2273	2295	93	67	4554	3160	3174	3185	3124	3102	3062	3110	3097	3104	95	66	3909	4758	4929	4883	4757	4789	4781	4769	4786	4912	92	76	4149	4009	4188	4169	4087	4060	4172	3990	4180	4151	69	76
4095	2460	2548	2599	2513	2536	2599	2615	2605	2619	60	61	4607	2965	3043	3052	2990	3048	3035	3145	3133	3150	94	74	6275	3036	3236	3223	3225	3216	3207	3300	3241	3270	98	61	3888	3051	3175	3167	3137	3097	3200	3188	3280	3243	92	71	4808	2148	2270	2232	2132	2135	2166	2191	2289	2247	93	66	4654	3046	3138	3201	3122	3086	3144	3150	3229	3198	92	69	3881	5065	5468	5340	5270	5161	5314	5261	5326	5361	97	70	4392	4258	4483	4506	4440	4392	4518	4395	4547	4506	63	67
4392	2427	2576	2753	2623	2697	2753	2785	2834	2781	65	65	5250	2995	3180	3275	3228	3273	3364	3415	3452	3484	94	70	7148	3153	3388	3560	3409	3479	3598	3621	3610	3695	91	78	3938	3073	3347	3408	3390	3396	3537	3506	3651	3571	102	73	5182	2129	2214	2254	2233	2245	2276	2264	2312	2357	105	64	5114	3112	3378	3382	3337	3394	3390	3380	3495	3463	106	70	3809	5427	6192	6201	6099	6157	6227	6258	6393	6393	109	78	4880	4439	4972	5084	5123	5027	5195	5115	5265	5260	70	74
4974	2489	2743	2948	2878	3021	3090	3089	3064	3208	70	67	6160	3009	3505	3725	3789	3721	3854	3913	3945	4008	102	67	8099	3138	3581	3876	3990	4125	4155	4320	4279	4310	90	76	4186	3105	3604	3811	3887	3910	3997	4055	4183	4177	111	67	5692	2090	2346	2389	2425	2435	2510	2600	2576	2544	95	70	5803	3232	3639	3741	3825	3757	3862	3903	3944	3947	114	71	4100	5775	7073	7190	7235	7342	7486	7565	7540	7655	110	64	5579	4605	5367	5736	6035	6006	6315	5881	6252	6293	68	71
5736	2475	2804	3180	3387	3538	3636	3622	3601	3724	64	68	7172	3050	3806	4188	4435	4473	4628	4678	4745	4780	109	66	9193	3138	3883	4404	4652	4862	5001	5008	5018	5157	100	66	4504	3066	3928	4373	4512	4718	4872	4849	4919	5012	105	73	6489	2126	2507	2660	2832	2901	2964	2973	2990	3009	109	64	6751	3343	3832	4241	4387	4458	4616	4652	4773	4742	107	73	4433	6010	7799	8216	8639	8922	8999	9124	9092	9025	108	62	6431	4766	5845	6496	6914	7244	7603	6942	7545	7526	70	72
6742	2417	2992	3575	3968	4216	4279	4320	4357	4438	68	72	8615	3153	4125	4919	5228	5312	5548	5580	5691	5682	117	62	10435	3121	4103	4806	5443	5726	5975	6001	5983	6108	109	73	5070	3113	4145	4927	5347	5594	5790	5922	5939	5975	112	66	7344	2128	2597	2969	3279	3422	3570	3549	3569	3618	111	73	7635	3395	4176	4729	5103	5275	5454	5432	5705	5666	116	67	5046	6237	8528	9231	9970	10189	10537	10586	10444	10625	121	62	7541	4760	6103	7095	8050	8378	8886	8290	8886	8934	67	68
7813	2403	3082	3841	4569	5048	5165	5263	5292	5389	66	77	10081	3200	4568	5560	6175	6336	6700	6720	6835	6806	114	62	11807	3141	4266	5113	6193	6741	6993	7214	7058	7196	116	68	6000	3051	4408	5273	6111	6573	6806	6954	6960	6997	105	61	8326	2140	2770	3313	3844	4065	4297	4314	4286	4472	118	71	8770	3601	4595	5208	6018	6298	6772	6631	6813	6771	104	63	5809	6528	9007	10154	11101	11606	12176	12105	12280	12490	111	69	8937	4942	6482	7691	8908	9580	10428	9748	10395	10341	64	72
9653	2541	3257	4290	5261	5904	6392	6462	6383	6624	71	69	11944	3219	4797	6343	7331	7601	7990	8022	8212	8262	120	71	13123	3100	4363	5431	6833	7737	8079	8334	8276	8402	129	72	6936	3094	4579	5654	6930	7557	7974	8210	8293	8235	116	64	9410	2185	2827	3619	4427	4895	5251	5286	5311	5310	119	66	9954	3674	4907	5803	6895	7587	8014	8036	8351	8128	122	76	6687	6766	9552	10911	12514	13348	13711	13857	13984	14091	123	75	10672	4999	6732	8182	9915	11062	11906	11264	11989	11851	67	73
11645	2602	3566	4568	6132	7131	7626	7902	7930	8029	67	60	14378	3246	5064	6993	8547	9061	9577	9796	9872	9890	128	73	14950	3064	4414	5684	7617	8862	9532	9743	9771	9761	125	73	8057	3081	4616	6118	7907	8768	9307	9485	9666	9707	141	73	10690	2232	3083	3909	5275	6032	6413	6561	6541	6657	138	70	11304	3946	5509	6530	8123	9206	9686	9809	10176	10005	132	65	7890	6947	9942	11721	13870	14920	15559	15813	16007	15913	130	60	12974	5084	6862	8608	11034	12517	13625	13008	13808	13787	66	76
14161	2673	3682	4977	6992	8810	9542	9770	9691	9989	71	59	17262	3283	5492	7946	10347	11088	11771	11796	12170	11929	125	70	17144	3167	4463	5919	8363	10300	11185	11433	11408	11669	132	72	9679	3073	4721	6468	8740	10232	10786	11045	11421	11383	138	67	12414	2357	3279	4236	5954	7367	7798	8328	8136	8312	143	60	12961	4158	6103	7207	9485	11065	11834	11966	12443	12244	140	67	9421	7220	10577	12536	15405	17185	17784	18215	18329	18664	149	68	15550	5260	7197	9106	12102	13976	15984	15091	16014	16098	71	63
17101	2777	3984	5461	8108	10509	11583	12016	12040	12450	63	69	20303	3350	5587	8928	12275	13467	14451	14806	14978	14840	148	68	19650	3101	4611	6145	9225	11742	13025	13366	13308	13706	150	67	11598	3105	4878	6541	9723	11644	12945	13013	13472	13399	151	69	14235	2359	3401	4462	6878	8856	9830	10377	10324	10445	144	69	14802	4437	6844	8297	10911	13049	14484	14832	15177	14981	139	66	11319	7402	11317	13392	16931	19466	20339	20653	21125	21328	164	69	18719	5341	7572	9599	13221	16169	18335	17570	18693	18712	71	76
20098	2941	4253	5801	9095	12284	14242	14756	14809	15099	60	70	23403	3474	5944	9918	14769	16215	17628	17877	18502	17841	155	57	22355	3098	4611	6262	9801	13201	15280	15854	15632	16157	155	62	13907	3079	4950	6988	10619	13645	15054	15781	15739	16046	164	64	16485	2488	3730	4824	7700	10571	11792	12774	12833	13019	148	71	17352	4772	7730	9284	12596	15717	17888	17969	18592	18360	164	72	13483	7727	12049	14188	18769	21807	23006	23548	23931	24461	164	66	21940	5409	7866	9841	14444	18317	21455	20746	21733	21620	76	67
23781	3065	4622	6285	10279	14584	17164	17900	18199	18566	70	68	27587	3422	6158	10769	17230	19411	21043	21537	21769	21589	157	69	25175	3159	4739	6363	10433	15133	17557	18423	18151	18935	167	65	16615	3178	5232	7087	11432	15636	17695	18349	18577	18793	168	65	19031	2629	3892	5178	8569	12629	14574	15785	15873	16223	163	66	20005	5040	8767	10546	14210	18363	20836	21785	22314	21991	173	71	16157	7951	13029	15278	20512	24424	26353	26834	27343	27804	179	65	26242	5635	8076	10311	15437	20848	24130	24027	25044	25055	68	69
