sample	arabinose	GFP
1	sg1	off-target	1
2	sg1	0	0.680200429880235
3	sg1	0.000003125	0.530237509179941
4	sg1	0.00000625	0.332421396523686
5	sg1	0.0000125	0.204028405397474
6	sg1	0.000025	0.134863165775232
7	sg1	0.00005	0.101326554349389
8	sg1	0.0001	0.0928032149515105
9	sg1	0.0002	0.0981193360426638
10	sg1	0.2	0.0507811117462126
11	sg1t4	off-target	0.908457747561368
12	sg1t4	0	0.768004948474328
13	sg1t4	0.000003125	0.620819702043336
14	sg1t4	0.00000625	0.452048111235557
15	sg1t4	0.0000125	0.277490876389131
16	sg1t4	0.000025	0.18024588819647
17	sg1t4	0.00005	0.121126921886115
18	sg1t4	0.0001	0.108064692292776
19	sg1t4	0.0002	0.110269397702928
20	sg1t4	0.2	0.0542566506002479
21	sg2	off-target	0.855292231315975
22	sg2	0	0.86226614409116
23	sg2	0.000003125	0.795489975569131
24	sg2	0.00000625	0.717928128973252
25	sg2	0.0000125	0.470974970985689
26	sg2	0.000025	0.225972437030334
27	sg2	0.00005	0.110228604349347
28	sg2	0.0001	0.0621554491596812
29	sg2	0.0002	0.0469256108118612
30	sg2	0.2	0.0198531821585421
31	sg3	off-target	0.836760050771089
32	sg3	0	0.654474032036594
33	sg3	0.000003125	0.485762258044017
34	sg3	0.00000625	0.319553764911736
35	sg3	0.0000125	0.191886468686125
36	sg3	0.000025	0.121310199051952
37	sg3	0.00005	0.0801685025864101
38	sg3	0.0001	0.0698454984061372
39	sg3	0.0002	0.0741671666128356
40	sg3	0.2	0.0448221938310615
41	sg4	off-target	0.810023064793042
42	sg4	0	0.578790455859911
43	sg4	0.000003125	0.464343851731691
44	sg4	0.00000625	0.344019946544289
45	sg4	0.0000125	0.231302651225838
46	sg4	0.000025	0.158480361464849
47	sg4	0.00005	0.112485791775995
48	sg4	0.0001	0.0916197666440922
49	sg4	0.0002	0.0837309010128338
50	sg4	0.2	0.0303393011681848
51	sg4t4	off-target	0.843877313928679
52	sg4t4	0	0.533238299544558
53	sg4t4	0.000003125	0.424802464725076
54	sg4t4	0.00000625	0.330144067539668
55	sg4t4	0.0000125	0.225364067748419
56	sg4t4	0.000025	0.163243026440645
57	sg4t4	0.00005	0.132885331381435
58	sg4t4	0.0001	0.121966280285244
59	sg4t4	0.0002	0.12006563062105
60	sg4t4	0.2	0.0722713729823934
61	sg5	off-target	0.704218067464342
62	sg5	0	0.55831316520883
63	sg5	0.000003125	0.42472306629533
64	sg5	0.00000625	0.301843193792298
65	sg5	0.0000125	0.212711964539675
66	sg5	0.000025	0.137340624208104
67	sg5	0.00005	0.0909463547140061
68	sg5	0.0001	0.0732620456968266
69	sg5	0.0002	0.0651098580206566
70	sg5	0.2	0.0238832073604004
71	sg6	off-target	0.766606837680328
72	sg6	0	0.686211352996893
73	sg6	0.000003125	0.545111731974519
74	sg6	0.00000625	0.394078171309315
75	sg6	0.0000125	0.259809558867262
76	sg6	0.000025	0.18652662223228
77	sg6	0.00005	0.142204587054509
78	sg6	0.0001	0.11948721783207
79	sg6	0.0002	0.11107190060675
80	sg6	0.2	0.0414593954688205
